age,sex,major,employment_status,wage_income,occupation,industry,hours_per_week,weeks_worked,state,person_weight
23,Male,Marketing And Marketing Research,Employed - at work,65000.0,Personal financial advisors,"Securities, commodities, funds, trusts, and other financial investments",40.0,52.0,Texas,81
27,Male,Psychology,Employed - at work,34000.0,Customer service representatives,Offices of physicians,44.0,52.0,North Carolina,35
26,Female,Marketing And Marketing Research,Employed - at work,40000.0,Merchandise displayers and window trimmers,"Drugs, druggists' sundries, and chemical and allied products merchant  wholesalers",40.0,52.0,New York,117
25,Female,Biology,Employed - at work,15000.0,Other office and administrative support workers,Business support services,30.0,35.0,Louisiana,123
24,Female,Communications,Employed - at work,30000.0,Veterinary technologists and technicians,Veterinary services,33.0,52.0,Texas,60
26,Female,Commercial Art And Graphic Design,Employed - at work,94000.0,Other office and administrative support workers,Offices of physicians,30.0,48.0,Texas,251
27,Female,General Business,Employed - at work,35000.0,Psychiatric technicians,Outpatient care centers,30.0,49.0,Florida,49
27,Female,Business Management And Administration,Employed - at work,53000.0,Human resources workers,Computer systems design and related services,40.0,40.0,North Carolina,383
26,Female,Criminology,Employed - absent from work,450.0,Teaching assistants,"Junior colleges, colleges, universities, and professional schools",4.0,17.0,California,49
23,Male,Physical Fitness Parks Recreation And Leisure,Employed - at work,20000.0,Physical therapist assistants and aides,"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",75.0,52.0,California,188
23,Female,Communication Technologies,Employed - at work,30000.0,Retail salespersons,"Automotive parts, accessories, and tire retailers",42.0,7.0,North Carolina,4
24,Female,Biology,Employed - at work,12000.0,Other teachers and instructors,"Museums, historical sites, and similar institutions",30.0,35.0,Massachusetts,37
24,Male,Computer Science,Employed - at work,50000.0,Home health aides,"Residential care facilities, except skilled nursing facilities",36.0,52.0,Minnesota,419
24,Female,Miscellaneous Biology,Not in labor force,0.0,Veterinary technologists and technicians,Veterinary services,,,Alabama,53
27,Female,English Language And Literature,Employed - at work,67000.0,Chief executives and legislators,Executive offices and legislative bodies,40.0,52.0,California,51
22,Male,Computer Science,Not in labor force,0.0,,,,,California,53
23,Male,Business Management And Administration,Unemployed,31500.0,Teaching assistants,"Junior colleges, colleges, universities, and professional schools",35.0,52.0,Pennsylvania,118
23,Male,Intercultural And International Studies,Employed - at work,45000.0,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction),40.0,52.0,Virginia,86
27,Female,Genetics,Employed - at work,79000.0,Other managers,Scientific research and development services,40.0,52.0,Wisconsin,369
25,Female,Nutrition Sciences,Employed - at work,1700.0,Exercise trainers and group fitness instructors,"Other amusement, gambling, and recreation industries",30.0,30.0,Georgia,109
26,Female,Biology,Employed - at work,60000.0,Medical and health services managers,"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",40.0,52.0,Massachusetts,30
26,Female,Nursing,Employed - at work,36000.0,Other healthcare practitioners and technical occupations,"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",36.0,52.0,California,125
